,WSbin,GP
0,3.0,90.93666958699473
1,3.5,159.47017702999375
2,4.0,280.09045325732217
3,4.5,419.88297540184993
4,5.0,562.6518977001822
5,5.5,730.0916480824922
6,6.0,937.658705561209
7,6.5,1200.5525437446477
8,7.0,1467.6794104138087
9,7.5,1740.9543958412519
10,8.0,2066.101962797839
11,8.5,2495.0405003570704
12,9.0,3103.2912703565084
13,9.5,3231.7130772773894
14,10.0,3235.4380215303036
15,10.5,3231.518166318181
16,11.0,3237.115017222222
17,11.5,3228.592204
18,12.0,3230.587782
19,12.5,3227.4066975
20,13.0,3233.3532713333334
21,13.5,3223.8500974999997
22,14.0,3242.9399415
23,14.5,3244.129883
24,15.0,
25,15.5,3226.810059
26,16.5,
27,17.0,3200.01001
